Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Corey Dickerson","- - -",48.93741996685903,-10.538460112176836,1.0973312854766846,-48.897454261779785,38.3989598546822,-47.8001229763031,7.188316521933302,118.94705462642014,116.73420802673255,12.072274629566966,95.60027527119117,"Corey Dickerson",10762,572816
"Tony Batista","- - -",-65.95330412972024,-12.852601911174133,14.030944555997849,18.933927416801453,-78.80590604089437,32.9648719727993,16.189412370091304,155.25507637113333,125.60345467312956,12.064487416160159,24.006359582850937,"Tony Batista",124,110682
"Jay Payton","- - -",-42.95188081724635,-6.771805331693031,36.1321918964386,-15.306352004408836,-49.72368614893938,20.825839892029762,11.669732140377164,139.43805871158838,122.20994459505593,12.044805557152163,45.12965984736892,"Jay Payton",890,134341
"Teoscar Hernández","- - -",62.11340911899033,-5.058567493222654,-8.719525162130594,-30.676720620598644,57.05484162576768,-39.39624578272924,8.065429316833615,94.00801221095026,119.7320373708223,12.042216236166624,96.33772988933299,"Teoscar Hernandez",13066,606192
"Jeimer Candelario","- - -",12.100496524710586,2.6955496803857386,1.7458374053239822,1.9130049832165241,14.796046205096324,3.6588423885405064,11.035799278412014,90.74583828635514,120.23652615840399,12.026651717334945,96.21321373867956,"Jeimer Candelario",13621,600869
"Frank Catalanotto","- - -",41.67620734511865,-0.17242241444182582,-17.219240874052048,-48.83972568437457,41.50378493067682,-66.05896655842662,14.575463445158675,133.4586287084967,123.47891052590558,11.981385463086411,39.30966393126437,"Frank Catalanotto",1241,112131
"Rougned Odor","- - -",-81.792976204345,13.589774125488475,21.49164640903473,13.389906257390976,-68.20320207885652,34.881552666425705,14.96157387457788,134.0381843149662,115.67810877711327,11.946567323375527,95.1221118454507,"Rougned Odor",12282,596059
"Desmond Jennings","TBR",7.443188052104163,20.451081544859335,12.36352002620697,-5.845339626073837,27.894269596963497,6.518180400133133,9.048713296186179,68.14662165567279,111.6077849489556,11.929395750152874,87.39106930153359,"Desmond Jennings",1965,457775
"Ron Karkovice","CHW",-48.448031279628964,-2.017036760269548,48,38.03099179267883,-50.46506803989851,86.03099179267883,7.61396040499676,73.25285691954195,116.43274107731904,11.84705449063264,,"Ron Karkovice",1006700,116843
"Tim Naehring","BOS",13.842918127206515,-2.3967360959213693,30,4.860424645245075,11.446182031285145,34.860424645245075,8.06929424626287,66.66730841249228,121.04320933528537,11.815477139588017,,"Tim Naehring",1009433,119634
"Randal Grichuk","- - -",-2.9029690544778326,-6.858163242228329,10.394872099161148,-21.8135527074337,-9.761132296706162,-11.418680608272552,10.747643972747028,126.09453447721899,115.6623655449873,11.813357128731555,94.37391017041517,"Randal Grichuk",10243,545341
"Drew Stubbs","- - -",-40.563359870419546,40.03818733221851,10.831620810553432,3.8397336825728416,-0.5251725382010335,14.671354493126273,5.115385561424773,92.50150219909847,111.76306971544848,11.800970016362662,83.13144312894363,"Drew Stubbs",9328,453211
"Addison Russell","CHC",-35.41810425708921,6.550206598127261,53.10402488708496,20.913363218307495,-28.86789765896195,74.01738810539246,3.407922168262303,66.72418109513819,115.281593709831,11.795815607546537,94.3665248603723,"Addison Russell",14106,608365
"Chris Davis","- - -",31.177959285357336,2.1578542357310653,-17.61419254541397,-96.74042910337448,33.3358135210884,-114.35462164878845,21.25846464303322,167.53726267069578,107.77691918602895,11.75416389209933,87.65766886251399,"Chris Davis",9272,448801
"Leonys Martin","- - -",-63.80541924916402,23.337471274426207,50.64668686687946,7.397110982158136,-40.46794797473781,58.0437978490376,10.429831388639286,82.32774498686194,110.33342624980102,11.74828556490264,91.38079078183529,"Leonys Martin",11846,547982
"Mike Devereaux","- - -",-33.81368520974742,-5.593483087839559,33,0.9699318893253803,-39.40716829758698,33.96993188932538,10.212877758662216,106.68356862850487,111.45920997890549,11.7079239697834,,"Mike Devereaux",1003242,113306
"Matt Lawton","- - -",49.35321398049191,-7.412525194347836,-59.375170826911926,-53.912872448563576,41.94068878614407,-113.2880432754755,19.291374206077307,173.88514447584748,121.82916419259337,11.677351501527477,19.86826910620535,"Matt Lawton",390,117566
"David Segui","- - -",72.98534511546548,-7.536638735778979,-36.28992003202438,-88.74082797765732,65.4487063796865,-125.0307480096817,13.599744462349918,169.38564013503492,123.40334296738962,11.662917634765131,3.795422881546162,"David Segui",169,121977
"Billy Hamilton","- - -",-138.35112533740968,68.1606759140268,66.58429910242558,9.908540676697157,-70.19044942338289,76.49283977912273,6.95182888652198,98.48441934213042,111.73863858439225,11.65895621738759,92.3573886199229,"Billy Hamilton",10199,571740
"Jedd Gyorko","- - -",5.32901457376324,-10.74084139149636,15.912101030349731,7.908663511276245,-5.41182681773312,23.820764541625977,6.400537045439705,88.58970275893807,113.39917752827064,11.627973702480475,91.10515449901622,"Jedd Gyorko",10816,576397
"Adam Frazier","- - -",-6.454080202464541,4.159007251029834,2.466361880302429,1.251142330467701,-2.295072951434708,3.71750421077013,8.676233816193417,105.49586987681687,115.59453495234571,11.581855112125556,92.65484089700445,"Adam Frazier",15223,624428
