last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Farmer, Kyle,571657,2021,529,392,0.263,0.252,0.011,0.416,0.383,0.0329999999999999,0.316,0.302,0.014
Taylor, Michael A.,572191,2021,528,346,0.244,0.246,-0.002,0.356,0.39,-0.034,0.286,0.3,-0.014
Grisham, Trent,663757,2021,527,348,0.242,0.241,0.001,0.413,0.368,0.0449999999999999,0.32,0.309,0.011
Cabrera, Miguel,408234,2021,526,363,0.256,0.234,0.0219999999999999,0.386,0.42,-0.0339999999999999,0.305,0.315,-0.01
Marte, Starling,516782,2021,526,371,0.31,0.277,0.0329999999999999,0.458,0.438,0.02,0.364,0.347,0.017
Lindor, Francisco,596019,2021,524,365,0.23,0.254,-0.0239999999999999,0.412,0.45,-0.038,0.317,0.344,-0.0269999999999999
Torres, Gleyber,650402,2021,516,361,0.259,0.265,-0.006,0.366,0.423,-0.0569999999999999,0.307,0.331,-0.024
García, Avisaíl,541645,2021,515,345,0.262,0.278,-0.016,0.49,0.514,-0.024,0.346,0.366,-0.02
Lowrie, Jed,476704,2021,512,353,0.245,0.259,-0.014,0.398,0.464,-0.066,0.311,0.343,-0.032
Iglesias, José,578428,2021,511,409,0.271,0.27,0.001,0.391,0.366,0.025,0.304,0.297,0.007
Solak, Nick,669256,2021,511,355,0.242,0.238,0.004,0.362,0.361,0.001,0.299,0.299,0.0
Aguilar, Jesús,542583,2021,510,363,0.261,0.26,0.001,0.459,0.453,0.006,0.334,0.334,0.0
Brantley, Michael,488726,2021,508,417,0.311,0.312,-0.001,0.437,0.466,-0.029,0.347,0.361,-0.014
Chisholm Jr., Jazz,665862,2021,507,324,0.248,0.238,0.01,0.425,0.409,0.016,0.312,0.307,0.005
Villar, Jonathan,542340,2021,505,324,0.249,0.235,0.014,0.416,0.388,0.0279999999999999,0.32,0.307,0.013
Smith, Will,669257,2021,501,324,0.258,0.25,0.008,0.495,0.472,0.023,0.364,0.364,0.0
Wendle, Joey,621563,2021,501,350,0.265,0.238,0.027,0.422,0.356,0.066,0.317,0.286,0.031
Myers, Wil,571976,2021,500,305,0.256,0.218,0.038,0.434,0.37,0.064,0.33,0.295,0.035
