Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Hunter Renfroe","LAA",483,0.07246377,0.22774327,0.31818182,0.24208145,0.30020704,0.42986425,0.73007129,0.1877828,0.2807571,56.999916500370055,-1.6754071647720088,0.31414868853847433,97.07454249754444,15464
2023,"J.P. Crawford","SEA",477,0.15303983,0.19077568,0.8021978,0.26010101,0.37763713,0.40151515,0.77915228,0.14141414,0.31313131,69.0585014458922,11.11206378901278,0.3464394039129858,126.15245841253343,15491
2023,"Amed Rosario","2 Tms",473,0.04862579,0.17547569,0.27710843,0.26067416,0.29809725,0.37977528,0.67787253,0.11910112,0.30640669,47.92136438961854,-9.539149261752463,0.2940022437567439,84.70143967330536,15518
2023,"Aaron Judge","NYY",310,0.18064516,0.27741935,0.65116279,0.27888446,0.40645161,0.64541833,1.05186994,0.36653387,0.30496454,66.97799645389757,29.318886026994804,0.43243862990460363,181.87102295105632,15640
2023,"Dominic Smith","WSN",472,0.07415254,0.15466102,0.47945205,0.26525822,0.33474576,0.34976526,0.68451102,0.08450704,0.30747126,52.65341688413996,-4.685615765853941,0.3063567816200903,89.4148667968225,15653
2023,"Jose Abreu","HOU",469,0.06609808,0.22601279,0.29245283,0.23364486,0.28997868,0.34345794,0.63343662,0.10981308,0.28391167,41.36438458277603,-15.61020506308655,0.2781772740885743,74.5061661290704,15676
2023,"Rowdy Tellez","MIL",295,0.10169492,0.23728814,0.42857143,0.20992366,0.28813559,0.38167939,0.66981498,0.17175573,0.23497268,28.72967996924746,-7.107215436998726,0.2892669193166922,78.97472888010195,15679
2023,"Aledmys Diaz","OAK",292,0.05479452,0.19863014,0.27586207,0.22348485,0.28178694,0.32575758,0.60754452,0.10227273,0.26699029,22.776294631201278,-12.69615777091359,0.2658760739445274,70.60422187427889,15937
2023,"Willy Adames","MIL",495,0.0969697,0.26666667,0.36363636,0.2137931,0.29614604,0.4,0.69614604,0.1862069,0.25087108,53.74641386576582,-6.386681815901509,0.30276723045848203,88.02424226077328,15986
2023,"Cody Bellinger","CHC",400,0.0725,0.155,0.46774194,0.32033426,0.3675,0.55153203,0.91903203,0.23119777,0.33216783,70.7294881780854,22.137087627243112,0.38510333623119336,144.0387180218245,15998
2023,"J.D. Davis","SFG",451,0.09312639,0.29490022,0.31578947,0.24303797,0.32071269,0.40253165,0.72324434,0.15949368,0.3201581,53.74587012519382,-1.0420614958808643,0.315546022491625,98.7533571801516,16219
2023,"Trea Turner","PHI",558,0.06630824,0.23297491,0.28461538,0.2504817,0.30286738,0.40462428,0.70749166,0.15414258,0.30748663,61.94077792866892,-5.845620839756065,0.30569458179336656,89.01747422069069,16252
2023,"Michael Conforto","SFG",426,0.11032864,0.22769953,0.48453608,0.25135135,0.342723,0.40540541,0.74812841,0.15405406,0.29885057,54.47460820931491,2.7237016226678668,0.3260474620272198,105.79267031860988,16376
2023,"Thairo Estrada","SFG",386,0.04404145,0.24093264,0.1827957,0.28011204,0.32901554,0.43417367,0.76318921,0.15406163,0.3515625,50.528339906428876,3.636673374866072,0.329700392252439,108.24129839870294,16426
2023,"Ryan O'Hearn","BAL",254,0.0511811,0.23228346,0.22033898,0.30084746,0.33858268,0.50423729,0.84281997,0.20338983,0.35882353,38.90225770153195,8.0460833517471,0.3565518017342911,128.61347153756512,16442
2023,"Kyle Schwarber","PHI",566,0.17137809,0.29151943,0.58787879,0.18438178,0.33038869,0.44034707,0.77073576,0.25596529,0.19245283,75.52533257367558,6.767085794233752,0.3327582648518676,107.15877180975373,16478
2023,"Matt Chapman","TOR",507,0.11045365,0.2800789,0.3943662,0.25,0.33925049,0.43468468,0.77393517,0.18468468,0.33217993,69.10069765142391,7.5098299532313275,0.33620433032277075,114.88206867791455,16505
2023,"Isiah Kiner-Falefa","NYY",309,0.08414239,0.17799353,0.47272727,0.25270758,0.31818182,0.36101083,0.67919265,0.10830325,0.29223744,32.83912057810905,-4.698508847416614,0.29998854325189217,89.861435049499,16512
